ISBN 10,ISBN 13,Title,Authors,Binding,Publisher,Publication Date,Bookshelf,Bookshelf Date,Date Added,Tags,Favorite,Rating,Review
140003065X,9781400030651,A Fine Balance (Oprah's Book Club),Rohinton Mistry,Paperback,Vintage,2001-11-30,Read,2008-05-10,2008-05-10 18:47:31 -0700,"",false,,
0765304368,9780765304360,Down and Out in the Magic Kingdom,Cory Doctorow,Hardcover,Tor Books,2003-02-01,Read,2008-05-10,2008-05-10 18:47:29 -0700,"",true,4.0,
0374117306,9780374117306,Bunker 13: A Novel,Aniruddha Bahal,Hardcover,"Farrar, Straus and Giroux",2003-06-02,Read,2008-05-10,2008-05-10 18:47:28 -0700,"fiction, indian, journalism, army",true,4.0,
1578511402,9781578511402,The Monk and the Riddle : The Education of a Silicon Valley Entrepreneur,"Randy Komisar, Kent L. Lineback",Hardcover,Harvard Business School Press,2000-03-24,Read,2008-05-10,2008-05-10 18:47:26 -0700,"",true,4.0,
0743256700,9780743256704,River of Gods,Ian McDonald,Paperback,Simon & Schuster (UK),2004-01,Read,2008-05-10,2008-05-10 18:47:25 -0700,"",true,5.0,"Probably the only mainstream science fiction out there which has  a plot based entirely in India.

Ian McDonald shows a remarkable understanding of modern India and extrapolates it brilliantly to come up with a storyline which is entertaining as well as gripping."
0375403728,9780375403729,Maximum City: Bombay Lost and Found,Suketu Mehta,Hardcover,Knopf,2004-09-21,Read,2008-05-10,2008-05-10 18:47:23 -0700,"nonfiction, indian, mumbai, bombay",true,4.0,
006051518X,9780060515188,Anansi Boys: A Novel,Neil Gaiman,Hardcover,William Morrow,2005-09-20,Read,2008-05-10,2008-05-10 18:47:22 -0700,"",false,,
0743421574,9780743421577,Shanghai Baby: A Novel,Wei Hui,Paperback,Washington Square Press,2002-08-07,Read,2008-05-10,2008-05-10 18:47:21 -0700,"",false,,
0060925000,9780060925000,"A Suitable Boy: Novel, A",Vikram Seth,Paperback,Harper Perennial,1994-04-13,Read,2008-05-10,2008-05-10 18:47:19 -0700,"fiction, indian",false,,
0740721909,9780740721908,God's Debris: A Thought Experiment,Scott Adams,Hardcover,Andrews McMeel Publishing,2001-09-15,Read,2008-05-10,2008-05-10 18:47:18 -0700,"",true,4.0,
0375758771,9780375758775,The Glass Palace: A Novel,Amitav Ghosh,Paperback,Random House Trade Paperbacks,2002-02-12,Read,2008-05-10,2008-05-10 18:47:17 -0700,"",false,,
1400043662,9781400043668,Kafka on the Shore,Haruki Murakami,Hardcover,Knopf,2005-01-18,Read,2008-05-10,2008-05-10 18:47:15 -0700,"",false,,
0060512806,9780060512804,Cryptonomicon,Neal Stephenson,Mass Market Paperback,Avon,2002-11-01,Read,2008-05-10,2008-05-10 18:47:14 -0700,"",false,,
